e2,t2
1393,-7.83951844561
1394,-7.86313035852
1395,-6.57531332371
1396,-7.72485503948
1397,-9.47601424484
1398,-4.9742552491
1399,-30.4533858717
1400,-23.707677297
1401,-22.0557463816
1402,-20.959996468
1403,-22.1786780087
1404,-24.9350234874
1405,-22.159682586
1406,-23.0795274455
1407,-22.1015974782
1408,-23.7201781541
1409,-24.9061564466
1410,-21.9553280755
1411,-23.5056372075
1412,-22.114513871
1413,-22.7574442179
1414,-22.7128016297
1415,-21.8996135325
1416,-22.714027838
1417,-23.2305353052
1418,-22.0419310896
1419,-23.6534925786
1420,-23.4136169275
1421,-23.4370859817
1422,-24.9744928881
1423,-23.0426397733
1424,-22.5562005959
1425,-22.1264877083
1426,-22.8288055834
1427,-21.3090662672
1428,-22.8482707731
1429,-22.2300456083
1430,-22.8109545119
1431,-22.2117182673
1432,-22.8641270925
1433,-23.0847424694
1434,-22.0624091164
1435,-23.6011598273
1436,-23.1551311974
1437,-23.0948885134
1438,-24.1506497813
1439,-21.3041747582
1440,-22.1452552664
1441,-22.9405491919
1442,-23.4280477611
1443,-21.7305449046
1444,-22.6158971257
1445,-22.9629259212
1446,-21.8426491458
1447,-23.1354407511
1448,-22.5975094002
1449,-23.7352515819
1450,-22.0028711701
1451,-23.1028017151
1452,-22.5951972471
1453,-22.8216840806
1454,-23.8266195841
1455,-23.1168159593
1456,-23.4879859694
1457,-22.2931360611
1458,-23.787950193
1459,-22.4776072405
1460,-22.2572315126
1461,-23.9217828418
1462,-23.2551279148
1463,-22.6740070374
1464,-23.3924873237
1465,-23.3069257437
1466,-23.4890646449
1467,-22.9043144835
1468,-21.4457525166
1469,-22.7487195367
1470,-23.3859333029
1471,-23.5431150303
1472,-23.7947689854
1473,-22.3039278279
1474,-22.7749387167
1475,-22.5291405719
1476,-21.9329232412
1477,-23.4103026588
1478,-22.6631489082
1479,-23.695705773
1480,-23.7560727955
1481,-22.3694297179
1482,-21.9565667656
1483,-22.6405240082
1484,-22.4244727508
1485,-23.804216256
1486,-23.1984865373
1487,-23.0519554431
1488,-22.1674366319
1489,-23.8383022248
1490,-22.028596572
1491,-22.5344624855
1492,-22.3247205053
1493,-23.4037222599
1494,-22.473248552
1495,-22.1091876495
1496,-22.3793219107
1497,-21.966693046
1498,-22.49182252
1499,-22.4080292236
1500,-22.6947338414
